id,document,tag,content
9323555,History_of_free_and_open-source_software-1.pdf,paradigm,free sharing of technological information
9323555,History_of_free_and_open-source_software-1.pdf,technique,free sharing of technological information
9323616,History_of_free_and_open-source_software-1.pdf,paradigm,monopolize the  industry  and  force  car  manufacturers  to  adhere
9323468,History_of_free_and_open-source_software-1.pdf,paradigm,hacking
9323619,History_of_free_and_open-source_software-1.pdf,paradigm,BM mainframe
9323734,History_of_free_and_open-source_software-1.pdf,software,software that was for sale only under restrictive licenses.
9323734,History_of_free_and_open-source_software-1.pdf,paradigm,software that was for sale only under restrictive licenses.
9323614,History_of_free_and_open-source_software-1.pdf,paradigm,"Operating  systems  were  usually proprietary  software ,  but  many tools like the TECO editor, Runoff text formatter, or  List file listing utility, etc. were developed to make users'  lives  easier,  and  distributed  on  the  DECUS  tapes."
9323631,History_of_free_and_open-source_software-1.pdf,paradigm,software  with  source  code  was  shared  on BBS networks.
9323695,History_of_free_and_open-source_software-1.pdf,paradigm,no  complete  free  software  operating systems existed
9323719,History_of_free_and_open-source_software-1.pdf,paradigm,non-profit funding and support organization
9323690,History_of_free_and_open-source_software-1.pdf,paradigm,"The  label  ""open  source""  was  adopted  by  some  people  in  the free  software movement  at  a  strategy session[42] held at Palo Alto, California , in reaction to Netscape 's January 1998 announcement of a source code  release  for Navigator"
9323671,History_of_free_and_open-source_software-1.pdf,paradigm,"Tiemann  argued  for  ""sourceware""  as  a  new  term,  while  Raymond argued  for  ""open  source"""
9323594,History_of_free_and_open-source_software-1.pdf,paradigm,copyrights and patents
